Date,Time,Maximum People,Total Predictions,Angry,Happy,Neutral,Sad,Surprise,Most Detected Emotion,Most Detected Percentage,Session Duration
2026-09-19,02:06:19,1,40,0,30,9,1,0,Happy,75.00%,0 min 18 sec
2026-09-19,02:07:02,1,360,0,158,179,8,15,Neutral,49.72%,1 min 0 sec
2026-09-19,02:07:11,1,360,0,158,179,8,15,Neutral,49.72%,1 min 9 sec
2026-09-19,02:07:20,1,360,0,158,179,8,15,Neutral,49.72%,1 min 18 sec
2026-09-19,02:27:17,1,26,0,23,3,0,0,Happy,88.46%,0 min 11 sec
2026-09-19,02:27:45,1,180,1,26,110,36,7,Neutral,61.11%,0 min 30 sec
2026-09-19,02:28:07,1,110,0,48,30,32,0,Happy,43.64%,0 min 17 sec
2026-09-19,02:28:24,1,135,0,101,23,0,11,Happy,74.81%,0 min 21 sec
2026-09-19,02:28:47,1,135,0,101,23,0,11,Happy,74.81%,0 min 21 sec
2026-09-19,02:32:27,1,135,0,101,23,0,11,Happy,74.81%,0 min 21 sec
2026-09-19,02:32:54,1,73,0,51,22,0,0,Happy,69.86%,0 min 9 sec
2026-09-19,02:33:10,1,109,0,59,25,0,25,Happy,54.13%,0 min 15 sec
2026-09-19,02:33:38,1,220,29,29,114,48,0,Neutral,51.82%,0 min 30 sec
2026-09-19,02:33:46,1,220,29,29,114,48,0,Neutral,51.82%,0 min 30 sec
2026-09-19,02:34:09,1,220,29,29,114,48,0,Neutral,51.82%,0 min 30 sec
